method,duration_clock,duration_mono,duration_sys,n_mpi_process,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,interaction
mpi,3.002722,3.465623 ,3.465620,25.0,,,,,1
mpi,2.962991,7.637441 ,7.637437,25.0,,,,,2
mpi,3.003660,4.275315 ,4.275312,25.0,,,,,3
mpi,3.237230,7.359627 ,7.359623,25.0,,,,,4
mpi,2.956683,3.637847 ,3.637844,25.0,,,,,5
mpi,3.083218,3.537111 ,3.537107,25.0,,,,,6
mpi,3.018466,4.440283 ,4.440280,25.0,,,,,7
mpi,3.015008,3.587836 ,3.587833,25.0,,,,,8
mpi,3.001513,3.682998 ,3.682995,25.0,,,,,9
mpi,3.051656,3.878189 ,3.878186,25.0,,,,,10
mpi,3.007194,3.595513 ,3.595509,25.0,,,,,11
mpi,2.829648,3.775200 ,3.775197,25.0,,,,,12
mpi,3.088426,3.751793 ,3.751790,25.0,,,,,13
mpi,2.961543,3.687314 ,3.687310,25.0,,,,,14
mpi,3.057943,3.835493 ,3.835490,25.0,,,,,15
mpi,2.953550,6.403031 ,6.403027,25.0,,,,,16
mpi,2.946072,4.886780 ,4.886775,25.0,,,,,17
mpi,3.036831,5.686760 ,5.686757,25.0,,,,,18
mpi,3.163068,4.301979 ,4.301976,25.0,,,,,19
mpi,2.870471,5.750955 ,5.750951,25.0,,,,,20
mpi,2.873449,3.537203 ,3.537200,25.0,,,,,21
mpi,3.008276,3.524160 ,3.524157,25.0,,,,,22
mpi,3.065338,3.999267 ,3.999264,25.0,,,,,23
mpi,2.879621,4.388602 ,4.388598,25.0,,,,,24
mpi,3.088902,4.129440 ,4.129436,25.0,,,,,25
mpi,3.077790,3.706257 ,3.706254,25.0,,,,,26
mpi,3.051848,3.874582 ,3.874579,25.0,,,,,27
mpi,2.929753,3.697685 ,3.697683,25.0,,,,,28
mpi,2.843679,4.540414 ,4.540412,25.0,,,,,29
mpi,3.045000,3.783918 ,3.783915,25.0,,,,,30
mpi,3.055594,4.209256 ,4.209253,25.0,,,,,31
mpi,3.064186,3.790054 ,3.790050,25.0,,,,,32
mpi,3.011000,4.430341 ,4.430336,25.0,,,,,33
mpi,3.062120,3.661270 ,3.661266,25.0,,,,,34
mpi,2.994277,3.463343 ,3.463340,25.0,,,,,35
mpi,2.976920,3.978677 ,3.978673,25.0,,,,,36
mpi,3.060547,3.755862 ,3.755859,25.0,,,,,37
mpi,2.910729,5.412825 ,5.412823,25.0,,,,,38
mpi,3.046164,3.700929 ,3.700925,25.0,,,,,39
mpi,3.003623,3.662767 ,3.662763,25.0,,,,,40
mpi,3.004332,5.856543 ,5.856540,25.0,,,,,41
mpi,2.849179,3.352791 ,3.352788,25.0,,,,,42
mpi,3.051796,4.043393 ,4.043390,25.0,,,,,43
mpi,3.084923,3.622058 ,3.622055,25.0,,,,,44
mpi,3.119225,4.132235 ,4.132231,25.0,,,,,45
mpi,3.031588,3.847599 ,3.847596,25.0,,,,,46
mpi,2.862711,3.514809 ,3.514806,25.0,,,,,47
mpi,2.932451,3.432658 ,3.432654,25.0,,,,,48
mpi,3.081406,3.555894 ,3.555891,25.0,,,,,49
mpi,3.022028,4.329866 ,4.329862,25.0,,,,,50
mpi,3.084424,3.629215 ,3.629212,25.0,,,,,51
mpi,2.855651,3.402969 ,3.402966,25.0,,,,,52
mpi,2.977023,4.179160 ,4.179156,25.0,,,,,53
mpi,2.817683,3.502268 ,3.502264,25.0,,,,,54
mpi,2.901818,3.669263 ,3.669259,25.0,,,,,55
mpi,3.018207,3.539333 ,3.539330,25.0,,,,,56
mpi,2.876924,4.037552 ,4.037550,25.0,,,,,57
mpi,3.063115,3.555874 ,3.555871,25.0,,,,,58
mpi,3.051139,6.622574 ,6.622570,25.0,,,,,59
mpi,3.037871,4.234005 ,4.234002,25.0,,,,,60
mpi,3.052026,4.256363 ,4.256359,25.0,,,,,61
mpi,3.062777,3.926992 ,3.926989,25.0,,,,,62
mpi,3.096310,3.735359 ,3.735355,25.0,,,,,63
mpi,2.946809,3.969462 ,3.969459,25.0,,,,,64
mpi,2.876200,3.943176 ,3.943172,25.0,,,,,65
mpi,3.086793,4.287719 ,4.287716,25.0,,,,,66
mpi,3.068091,3.734584 ,3.734580,25.0,,,,,67
mpi,2.871177,3.651245 ,3.651241,25.0,,,,,68
mpi,2.936336,4.494311 ,4.494308,25.0,,,,,69
mpi,3.050744,3.553352 ,3.553348,25.0,,,,,70
mpi,3.043259,4.012548 ,4.012544,25.0,,,,,71
mpi,3.082291,6.456733 ,6.456730,25.0,,,,,72
mpi,2.856466,4.274532 ,4.274528,25.0,,,,,73
mpi,2.995217,4.769835 ,4.769832,25.0,,,,,74
mpi,3.021430,3.556615 ,3.556612,25.0,,,,,75
mpi,2.968994,3.777419 ,3.777415,25.0,,,,,76
mpi,3.046165,3.768943 ,3.768939,25.0,,,,,77
mpi,3.071022,3.997853 ,3.997850,25.0,,,,,78
mpi,3.072773,6.095249 ,6.095246,25.0,,,,,79
mpi,2.912458,3.450357 ,3.450354,25.0,,,,,80
mpi,3.042252,3.566763 ,3.566760,25.0,,,,,81
mpi,3.275500,4.504949 ,4.504945,25.0,,,,,82
mpi,3.028836,5.693853 ,5.693849,25.0,,,,,83
mpi,3.069241,4.216066 ,4.216063,25.0,,,,,84
mpi,3.058239,3.758982 ,3.758979,25.0,,,,,85
mpi,2.971028,4.853155 ,4.853152,25.0,,,,,86
mpi,2.883408,4.516460 ,4.516457,25.0,,,,,87
mpi,3.085749,4.670891 ,4.670888,25.0,,,,,88
mpi,3.151558,3.916694 ,3.916692,25.0,,,,,89
mpi,2.866865,3.380306 ,3.380303,25.0,,,,,90
mpi,3.015603,4.090422 ,4.090419,25.0,,,,,91
mpi,3.005567,5.421159 ,5.421155,25.0,,,,,92
mpi,3.038030,3.846776 ,3.846772,25.0,,,,,93
mpi,3.099409,3.556568 ,3.556565,25.0,,,,,94
mpi,2.936647,4.131673 ,4.131669,25.0,,,,,95
mpi,3.029039,3.664028 ,3.664026,25.0,,,,,96
mpi,2.999652,4.221742 ,4.221738,25.0,,,,,97
mpi,2.881382,3.720986 ,3.720983,25.0,,,,,98
mpi,2.976555,3.999678 ,3.999674,25.0,,,,,99
mpi,3.110810,5.982036 ,5.982031,25.0,,,,,100
mpi,3.400202,6.684121 ,6.684118,25.0,,,,,101
mpi,3.047327,4.025123 ,4.025120,25.0,,,,,102
mpi,3.288475,5.177460 ,5.177456,25.0,,,,,103
mpi,3.023034,3.674977 ,3.674973,25.0,,,,,104
mpi,2.853513,3.593508 ,3.593504,25.0,,,,,105
mpi,3.024198,3.630142 ,3.630137,25.0,,,,,106
mpi,2.914445,3.587552 ,3.587548,25.0,,,,,107
mpi,3.020025,4.056787 ,4.056784,25.0,,,,,108
mpi,2.827343,5.601246 ,5.601243,25.0,,,,,109
mpi,2.993786,4.149737 ,4.149732,25.0,,,,,110
mpi,2.853118,3.820565 ,3.820562,25.0,,,,,111
mpi,2.864341,3.949119 ,3.949116,25.0,,,,,112
mpi,2.998997,3.641805 ,3.641801,25.0,,,,,113
mpi,2.822615,3.352126 ,3.352122,25.0,,,,,114
mpi,3.005288,6.405655 ,6.405652,25.0,,,,,115
mpi,2.863589,3.852829 ,3.852826,25.0,,,,,116
mpi,2.995528,5.696645 ,5.696640,25.0,,,,,117
mpi,2.842556,3.903116 ,3.903113,25.0,,,,,118
mpi,2.956896,4.773674 ,4.773671,25.0,,,,,119
mpi,2.803166,4.833825 ,4.833822,25.0,,,,,120
mpi,3.032054,4.703849 ,4.703846,25.0,,,,,121
mpi,3.010093,3.963400 ,3.963396,25.0,,,,,122
mpi,2.911676,4.309391 ,4.309389,25.0,,,,,123
mpi,3.098795,4.102836 ,4.102832,25.0,,,,,124
mpi,3.122124,5.392051 ,5.392047,25.0,,,,,125
mpi,2.962436,3.861217 ,3.861214,25.0,,,,,126
mpi,2.965973,3.621945 ,3.621942,25.0,,,,,127
mpi,2.974022,3.598168 ,3.598165,25.0,,,,,128
mpi,2.827504,4.193964 ,4.193960,25.0,,,,,129
mpi,2.972522,5.992312 ,5.992308,25.0,,,,,130
mpi,2.975440,3.587198 ,3.587195,25.0,,,,,131
mpi,3.036293,5.521289 ,5.521285,25.0,,,,,132
mpi,2.920232,3.702030 ,3.702026,25.0,,,,,133
mpi,3.032936,5.302698 ,5.302695,25.0,,,,,134
mpi,2.898634,3.469982 ,3.469977,25.0,,,,,135
mpi,3.113181,4.858322 ,4.858318,25.0,,,,,136
mpi,3.010522,4.991068 ,4.991065,25.0,,,,,137
mpi,2.913418,3.927636 ,3.927632,25.0,,,,,138
mpi,2.992322,3.836533 ,3.836529,25.0,,,,,139
mpi,2.877472,3.949189 ,3.949185,25.0,,,,,140
mpi,2.926648,5.487292 ,5.487288,25.0,,,,,141
mpi,3.004894,4.921926 ,4.921923,25.0,,,,,142
mpi,3.022197,4.033303 ,4.033300,25.0,,,,,143
mpi,2.853672,3.698414 ,3.698411,25.0,,,,,144
mpi,3.015047,4.302080 ,4.302077,25.0,,,,,145
mpi,2.974444,3.481625 ,3.481622,25.0,,,,,146
mpi,3.014529,4.621974 ,4.621971,25.0,,,,,147
mpi,2.883363,5.681978 ,5.681975,25.0,,,,,148
mpi,3.047299,3.947825 ,3.947821,25.0,,,,,149
mpi,3.024218,4.166481 ,4.166478,25.0,,,,,150
mpi,2.837935,4.315867 ,4.315864,25.0,,,,,151
mpi,2.979863,3.511745 ,3.511740,25.0,,,,,152
mpi,3.013754,3.955394 ,3.955391,25.0,,,,,153
mpi,2.827174,3.314104 ,3.314101,25.0,,,,,154
mpi,2.973651,3.948457 ,3.948454,25.0,,,,,155
mpi,3.031485,4.039257 ,4.039254,25.0,,,,,156
mpi,2.895086,3.852216 ,3.852213,25.0,,,,,157
mpi,2.998669,3.905092 ,3.905089,25.0,,,,,158
mpi,3.032913,3.759084 ,3.759081,25.0,,,,,159
mpi,3.039373,4.543017 ,4.543012,25.0,,,,,160
mpi,2.937762,4.759709 ,4.759706,25.0,,,,,161
mpi,3.092059,3.674520 ,3.674517,25.0,,,,,162
mpi,2.962657,3.660072 ,3.660069,25.0,,,,,163
mpi,3.041537,3.662328 ,3.662324,25.0,,,,,164
mpi,2.895215,4.725108 ,4.725104,25.0,,,,,165
mpi,3.139332,4.071364 ,4.071360,25.0,,,,,166
mpi,3.306056,3.928428 ,3.928424,25.0,,,,,167
mpi,2.875783,5.535646 ,5.535642,25.0,,,,,168
mpi,3.042309,4.869458 ,4.869452,25.0,,,,,169
mpi,3.070299,6.167510 ,6.167507,25.0,,,,,170
mpi,2.868735,6.379190 ,6.379186,25.0,,,,,171
mpi,3.038514,4.253245 ,4.253241,25.0,,,,,172
mpi,2.824461,3.723545 ,3.723542,25.0,,,,,173
mpi,2.958982,4.411866 ,4.411862,25.0,,,,,174
mpi,2.987083,3.602303 ,3.602299,25.0,,,,,175
mpi,2.970833,3.756228 ,3.756224,25.0,,,,,176
mpi,2.961442,3.367389 ,3.367386,25.0,,,,,177
mpi,2.994657,5.240569 ,5.240565,25.0,,,,,178
mpi,3.066467,3.627983 ,3.627980,25.0,,,,,179
mpi,3.032661,5.270376 ,5.270372,25.0,,,,,180
mpi,3.011610,4.158300 ,4.158297,25.0,,,,,181
mpi,2.887657,3.427200 ,3.427197,25.0,,,,,182
mpi,2.828826,5.525856 ,5.525853,25.0,,,,,183
mpi,2.982183,3.839309 ,3.839306,25.0,,,,,184
mpi,3.007917,6.373000 ,6.372996,25.0,,,,,185
mpi,2.902262,3.834602 ,3.834599,25.0,,,,,186
mpi,3.078519,6.694850 ,6.694846,25.0,,,,,187
mpi,2.937287,3.939281 ,3.939276,25.0,,,,,188
mpi,2.953173,3.839156 ,3.839152,25.0,,,,,189
mpi,3.233523,3.801778 ,3.801775,25.0,,,,,190
mpi,2.915591,3.815495 ,3.815493,25.0,,,,,191
mpi,2.989033,4.597294 ,4.597291,25.0,,,,,192
mpi,2.982691,4.522037 ,4.522034,25.0,,,,,193
mpi,3.036837,3.970638 ,3.970635,25.0,,,,,194
mpi,3.048607,4.319285 ,4.319281,25.0,,,,,195
mpi,3.062808,3.544497 ,3.544494,25.0,,,,,196
mpi,3.056362,3.927685 ,3.927682,25.0,,,,,197
mpi,2.838200,3.400328 ,3.400325,25.0,,,,,198
mpi,3.055653,3.936489 ,3.936486,25.0,,,,,199
mpi,2.896156,3.299131 ,3.299128,25.0,,,,,200
cuda,2.038097,4.813743 ,4.813742,,32.0,32.0,16.0,16.0,1
cuda,2.440832,4.834624 ,4.834623,,32.0,32.0,16.0,16.0,2
cuda,2.769988,7.131283 ,7.131282,,32.0,32.0,16.0,16.0,3
cuda,2.131289,4.892482 ,4.892480,,32.0,32.0,16.0,16.0,4
cuda,2.149154,7.283563 ,7.283560,,32.0,32.0,16.0,16.0,5
cuda,2.119889,4.297219 ,4.297217,,32.0,32.0,16.0,16.0,6
cuda,2.444847,4.588909 ,4.588908,,32.0,32.0,16.0,16.0,7
cuda,2.491982,4.980536 ,4.980535,,32.0,32.0,16.0,16.0,8
cuda,2.602768,4.600618 ,4.600618,,32.0,32.0,16.0,16.0,9
cuda,2.417180,5.344627 ,5.344626,,32.0,32.0,16.0,16.0,10
cuda,2.415245,5.535501 ,5.535499,,32.0,32.0,16.0,16.0,11
cuda,2.678844,5.050257 ,5.050255,,32.0,32.0,16.0,16.0,12
cuda,2.395333,5.088249 ,5.088247,,32.0,32.0,16.0,16.0,13
cuda,2.213689,4.373473 ,4.373472,,32.0,32.0,16.0,16.0,14
cuda,2.896500,5.352550 ,5.352549,,32.0,32.0,16.0,16.0,15
cuda,2.106210,4.423148 ,4.423147,,32.0,32.0,16.0,16.0,16
cuda,2.139667,5.152546 ,5.152543,,32.0,32.0,16.0,16.0,17
cuda,2.208908,4.585878 ,4.585877,,32.0,32.0,16.0,16.0,18
cuda,2.464836,5.827858 ,5.827856,,32.0,32.0,16.0,16.0,19
cuda,2.422778,6.199731 ,6.199729,,32.0,32.0,16.0,16.0,20
cuda,1.795178,3.589265 ,3.589262,,32.0,32.0,16.0,16.0,21
